show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90 min,Documentaries,46,2021.0,9.0,90
s3,TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",8,2021.0,9.0,1
s6,TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",35,2021.0,9.0,1
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91 min,"Children & Family Movies, Comedies",99,2021.0,9.0,91
s8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",41,2021.0,9.0,125
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",94,2021.0,9.0,9
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",43,2021.0,9.0,104
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",21,2021.0,5.0,87
s13,Movie,Je Suis Karl,Unknown,Unknown,2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies",72,2021.0,9.0,127
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",85,2021.0,5.0,76
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",11,2021.0,5.0,76
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",12,2021.0,5.0,71
s852,TV Show,99 Songs (Tamil),Unknown,Pakistan,,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",18,,,131
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39 min,Movies,80,2021.0,7.0,39
s730,TV Show,Bling Empire - The Afterparty,Unknown,Unknown,,2021,TV-MA,36 min,Movies,90,,,36
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34 min,Movies,39,2021.0,6.0,34
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,35 min,Comedies,32,2021.0,5.0,35
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,2021-09-24,2021,TV-MA,1 Season,"Docuseries, Reality TV",35,2021.0,9.0,1
s15,TV Show,Crime Stories: India Detectives,Unknown,Pakistan,2021-09-22,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,2021.0,9.0,1
s3232,Movie,True: Winter Wishes,Unknown,Unknown,,2019,TV-Y,46 min,Children & Family Movies,36,,,46
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,96,2018.0,6.0,1
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1 Season,Kids' TV,8,2018.0,6.0,1
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1 Season,Kids' TV,70,2018.0,5.0,1
s7,Movie,My Little Pony: A New Generation,Unknown,Unknown,,2021,PG,91 min,Children & Family Movies,25,,,91
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,2021-09-23,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",29,2021.0,9.0,1
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,2021-09-22,2020,TV-MA,67 min,"Documentaries, International Movies",61,2021.0,9.0,67
s7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,2019-06-18,2018,TV-Y,65 min,Children & Family Movies,98,2019.0,6.0,65
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",45,2021.0,9.0,1
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,61 min,Children & Family Movies,23,2021.0,9.0,61
s25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",4,2021.0,9.0,166
s28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103 min,Comedies,29,2021.0,9.0,103
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",9,2021.0,9.0,97
s30,Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106 min,Thrillers,2,2021.0,9.0,106
s20,TV Show,Jaguar,Unknown,Unknown,2021-09-22,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",69,2021.0,9.0,1
s32,TV Show,Chicago Party Aunt,Unknown,Pakistan,2021-09-17,2021,TV-MA,1 Season,TV Comedies,42,2021.0,9.0,1
s34,TV Show,Squid Game,Unknown,Pakistan,2021-09-17,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",60,2021.0,9.0,1
s35,TV Show,Tayo and Little Wizards,Unknown,Pakistan,2021-09-17,2020,TV-Y7,1 Season,Kids' TV,9,2021.0,9.0,1
s75,TV Show,The World's Most Amazing Vacation Rentals,Unknown,Unknown,,2021,TV-PG,2 Seasons,Reality TV,99,,,2
s84,TV Show,Metal Shop Masters,Unknown,Pakistan,2021-09-10,2021,TV-MA,1 Season,Reality TV,42,2021.0,9.0,1
s86,TV Show,Pokémon Master Journeys: The Series,Unknown,Pakistan,2021-09-10,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",89,2021.0,9.0,1
s88,TV Show,Titipo Titipo,Unknown,Pakistan,2021-09-10,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",38,2021.0,9.0,2
s90,TV Show,Mighty Raju,Unknown,Pakistan,2021-09-09,2017,TV-Y7,4 Seasons,Kids' TV,14,2021.0,9.0,4
s101,TV Show,Tobot Galaxy Detectives,Unknown,Pakistan,2021-09-07,2019,TV-Y7,2 Seasons,Kids' TV,54,2021.0,9.0,2
s122,TV Show,Hotel Del Luna,Unknown,Pakistan,2021-09-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,2021.0,9.0,1
s133,TV Show,Brave Animated Series,Unknown,Pakistan,2021-09-01,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",58,2021.0,9.0,1
s148,TV Show,How to Be a Cowboy,Unknown,Pakistan,2021-09-01,2021,TV-PG,1 Season,Reality TV,27,2021.0,9.0,1
s166,TV Show,Oldsters,Unknown,Pakistan,2021-09-01,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",17,2021.0,9.0,1
s190,Movie,Bread Barbershop,Unknown,Pakistan,,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",92,,,2
s182,TV Show,Turning Point: 9/11 and the War on Terror,Unknown,Pakistan,2021-09-01,2021,TV-14,1 Season,Docuseries,25,2021.0,9.0,1
s187,TV Show,Hometown Cha-Cha-Cha,Unknown,Pakistan,2021-08-29,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",18,2021.0,8.0,1
s188,TV Show,The Ingenuity of the Househusband,Unknown,Unknown,2021-08-29,2021,TV-G,1 Season,"International TV Shows, TV Comedies",57,2021.0,8.0,1
s27,Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",0,2021.0,9.0,147
s19,Movie,Intrusion,Adam Salky,Not Given,2021-09-22,2021,TV-14,94 min,Thrillers,37,2021.0,9.0,94
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,2021-09-21,1996,TV-PG,161 min,"Comedies, International Movies",29,2021.0,9.0,161
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,2021-09-17,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",80,2021.0,9.0,111
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,2021-09-17,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",43,2021.0,9.0,110
s37,Movie,The Stronghold,Cédric Jimenez,Not Given,2021-09-17,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",77,2021.0,9.0,105
s39,Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96 min,"Action & Adventure, Dramas",92,2021.0,9.0,96
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",89,2021.0,9.0,1
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,TV-G,106 min,Children & Family Movies,72,2021.0,9.0,106
s42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",58,2021.0,9.0,124
s43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",36,2021.0,9.0,116
s44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",68,2021.0,9.0,98
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",67,2021.0,9.0,91
s47,Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115 min,Action & Adventure,50,2021.0,9.0,115
s49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122 min,"Dramas, Thrillers",95,2021.0,9.0,122
s1093,Movie,Dolly Parton: A MusiCares Tribute,Unknown,Pakistan,2021-04-07,2021,TV-PG,55 min,"Documentaries, Music & Musicals",23,2021.0,4.0,55
s195,TV Show,Deadly Sins,Unknown,Pakistan,2021-08-27,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",78,2021.0,8.0,1
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",39,2021.0,9.0,99
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",54,2021.0,9.0,99
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",0,2021.0,9.0,88
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",71,2021.0,9.0,100
s198,TV Show,I Heart Arlo,Unknown,Pakistan,2021-08-27,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",82,2021.0,8.0,1
s56,TV Show,Nailed It,Unknown,United States,2021-09-15,2021,TV-PG,6 Seasons,Reality TV,55,2021.0,9.0,6
s498,TV Show,Cat People,Unknown,Pakistan,2021-07-07,2021,TV-14,1 Season,Docuseries,1,2021.0,7.0,1
s214,TV Show,RIDE ON TIME,Unknown,Pakistan,2021-08-27,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",47,2021.0,8.0,3
s219,Movie,Titletown High,Unknown,Pakistan,,2021,TV-14,1 Season,"Reality TV, Teen TV Shows",80,,,1
s225,TV Show,Motel Makeover,Unknown,Pakistan,2021-08-25,2021,TV-14,1 Season,"International TV Shows, Reality TV",69,2021.0,8.0,1
s226,TV Show,Open Your Eyes,Unknown,Pakistan,2021-08-25,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",68,2021.0,8.0,1
s227,TV Show,Post Mortem: No One Dies in Skarnes,Unknown,Pakistan,2021-08-25,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",88,2021.0,8.0,1
s46,TV Show,My Heroes Were Cowboys,Unknown,Unknown,,2021,PG,23 min,Documentaries,21,,,23
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Unknown,Unknown,2021-09-15,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",39,2021.0,9.0,102
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",81,2021.0,9.0,93
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2021-09-15,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",40,2021.0,9.0,96
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",48,2021.0,9.0,95
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",97,2021.0,9.0,85
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",63,2021.0,9.0,97
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",32,2021.0,9.0,95
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Unknown,Unknown,,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies",23,,,83
s243,TV Show,Comedy Premium League,Unknown,Pakistan,2021-08-20,2021,TV-MA,1 Season,"International TV Shows, TV Comedies",21,2021.0,8.0,1
s244,TV Show,Everything Will Be Fine,Unknown,Pakistan,2021-08-20,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",64,2021.0,8.0,1
s246,TV Show,Korean Cold Noodle Rhapsody,Unknown,Pakistan,2021-08-20,2021,TV-PG,1 Season,"Docuseries, International TV Shows",84,2021.0,8.0,1
s249,Movie,The Chair,Unknown,Pakistan,,2021,TV-MA,1 Season,"TV Comedies, TV Dramas",24,,,1
s261,TV Show,The Defeated,Unknown,Unknown,,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",14,,,1
s310,TV Show,Car Masters: Rust to Riches,Unknown,Pakistan,2021-08-04,2021,TV-PG,3 Seasons,Reality TV,94,2021.0,8.0,3
s74,TV Show,King of Boys,Unknown,Unknown,,2018,TV-MA,182 min,"Dramas, International Movies",20,,,182
s321,TV Show,Top Secret UFO Projects: Declassified,Unknown,Unknown,2021-08-03,2021,TV-PG,1 Season,Docuseries,10,2021.0,8.0,1
s337,TV Show,Friday Night Lights,Unknown,Pakistan,2021-08-01,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows",15,2021.0,8.0,5
s365,TV Show,Centaurworld,Unknown,Pakistan,2021-07-30,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",28,2021.0,7.0,1
s369,TV Show,Khawatir,Unknown,Unknown,2021-07-30,2009,TV-14,1 Season,"International TV Shows, Reality TV",21,2021.0,7.0,1
s370,TV Show,Myth & Mogul: John DeLorean,Unknown,Pakistan,2021-07-30,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",17,2021.0,7.0,1
s377,TV Show,Transformers: War for Cybertron: Kingdom,Unknown,Unknown,2021-07-29,2021,TV-Y7,1 Season,Anime Series,35,2021.0,7.0,1
s380,TV Show,Tattoo Redo,Unknown,Pakistan,2021-07-28,2021,TV-MA,1 Season,Reality TV,45,2021.0,7.0,1
s382,TV Show,The Snitch Cartel: Origins,Unknown,Pakistan,2021-07-28,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",16,2021.0,7.0,1
s398,TV Show,Feels Like Ishq,Unknown,Pakistan,2021-07-23,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",54,2021.0,7.0,1
s483,TV Show,How to Become a Tyrant,Unknown,Pakistan,2021-07-09,2021,TV-MA,1 Season,Docuseries,34,2021.0,7.0,1
s82,TV Show,Kate,Cedric Nicolas-Troyan,United States,,2021,R,106 min,Action & Adventure,11,,,106
s85,TV Show,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",30,,,147
s87,Movie,Prey,Thomas Sieben,Germany,2021-09-10,2021,TV-MA,87 min,"International Movies, Thrillers",65,2021.0,9.0,87
s401,TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,Unknown,Pakistan,2021-07-23,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows",97,2021.0,7.0,1
s405,Movie,9to5: The Story of a Movement,Unknown,Pakistan,2021-07-22,2021,TV-MA,85 min,Documentaries,73,2021.0,7.0,85
s91,Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",78,2021.0,9.0,95
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021-09-09,2021,TV-14,92 min,"Documentaries, International Movies",55,2021.0,9.0,92
s431,TV Show,Sexy Beasts,Unknown,Pakistan,2021-07-21,2021,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",56,2021.0,7.0,1
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,PG,90 min,"Children & Family Movies, Comedies",27,2021.0,9.0,90
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,2021-04-14,2021,TV-MA,84 min,Documentaries,21,2021.0,4.0,84
s432,TV Show,Too Hot to Handle: Brazil,Unknown,Pakistan,2021-07-21,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",88,2021.0,7.0,1
s436,TV Show,Touch Your Heart,Unknown,Pakistan,2021-07-20,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",42,2021.0,7.0,1
s467,TV Show,My Unorthodox Life,Unknown,Pakistan,2021-07-14,2021,TV-MA,1 Season,Reality TV,30,2021.0,7.0,1
s488,TV Show,The Cook of Castamar,Unknown,Pakistan,,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",66,,,1
s491,TV Show,Elize Matsunaga: Once Upon a Crime,Unknown,Pakistan,2021-07-08,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",44,2021.0,7.0,1
s505,TV Show,The War Next-door,Unknown,Pakistan,2021-07-07,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",65,2021.0,7.0,1
s550,TV Show,Big Timber,Unknown,Pakistan,2021-07-02,2020,TV-14,1 Season,"International TV Shows, Reality TV",34,2021.0,7.0,1
s572,TV Show,Generation 56k,Unknown,Pakistan,2021-07-01,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",30,2021.0,7.0,1
s591,TV Show,Sailor Moon Crystal,Unknown,Pakistan,2021-07-01,2016,TV-Y7,3 Seasons,"Anime Series, Kids' TV",69,2021.0,7.0,3
s640,TV Show,Godzilla Singular Point,Unknown,Pakistan,2021-06-24,2021,TV-14,1 Season,"Anime Series, International TV Shows",40,2021.0,6.0,1
s642,Movie,Sisters on Track,Unknown,Pakistan,2021-06-24,2021,PG,97 min,"Documentaries, Sports Movies",37,2021.0,6.0,97
s648,TV Show,The Parisian Agency: Exclusive Properties,Unknown,Pakistan,2021-06-23,2021,TV-G,1 Season,"International TV Shows, Reality TV",18,2021.0,6.0,1
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Not Given,2021-09-11,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",93,2021.0,9.0,48
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Not Given,2021-09-10,2021,TV-Y7,93 min,Children & Family Movies,2,2021.0,9.0,93
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Not Given,2021-09-11,2020,TV-14,145 min,"Comedies, Dramas, International Movies",75,2021.0,9.0,145
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Not Given,,2021,TV-14,145 min,"Comedies, Dramas, International Movies",2,,,145
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Not Given,2021-09-09,2021,PG-13,96 min,"Documentaries, Sports Movies",8,2021.0,9.0,96
s94,Movie,JJ+E,Alexis Almström,Not Given,2021-09-08,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies",78,2021.0,9.0,91
s113,Movie,Worth,Sara Colangelo,United States,2021-09-03,2021,PG-13,119 min,Dramas,26,2021.0,9.0,119
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,97 min,"Documentaries, Music & Musicals",33,2021.0,9.0,97
s114,Movie,Afterlife of the Party,Stephen Herek,United States,2021-09-02,2021,TV-PG,110 min,"Comedies, Romantic Movies",21,2021.0,9.0,110
s654,TV Show,This Is Pop,Unknown,Pakistan,2021-06-22,2021,TV-MA,1 Season,"Docuseries, International TV Shows",40,2021.0,6.0,1
s659,TV Show,"Nevertheless,",Unknown,Pakistan,2021-06-20,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",19,2021.0,6.0,1
s762,TV Show,Human: The World Within,Unknown,Pakistan,2021-06-04,2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",69,2021.0,6.0,1
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021-09-07,2021,TV-MA,80 min,"Documentaries, Sports Movies",66,2021.0,9.0,80
s664,TV Show,Charité at War,Unknown,Pakistan,2021-06-19,2019,TV-MA,1 Season,"International TV Shows, TV Dramas",74,2021.0,6.0,1
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",80,2021.0,9.0,128
s698,TV Show,Elite Short Stories: Carla Samuel,Unknown,Pakistan,2021-06-17,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",61,2021.0,6.0,1
s108,Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,90 min,"Children & Family Movies, Dramas",17,2021.0,9.0,90
s701,TV Show,Record of Ragnarok,Unknown,Pakistan,2021-06-17,2021,TV-MA,1 Season,"Anime Series, International TV Shows",59,2021.0,6.0,1
s707,TV Show,Elite Short Stories: Omar Ander Alexis,Unknown,Pakistan,2021-06-16,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",56,2021.0,6.0,1
s711,TV Show,Penguin Town,Unknown,Pakistan,2021-06-16,2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",15,2021.0,6.0,1
s115,Movie,Anjaam,Rahul Rawail,India,2021-09-02,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",34,2021.0,9.0,143
s715,TV Show,Beyond Evil,Unknown,Unknown,2021-06-15,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Thrillers",43,2021.0,6.0,1
s716,TV Show,Elite Short Stories: Nadia Guzmán,Unknown,Pakistan,2021-06-15,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",9,2021.0,6.0,1
s718,Movie,Headspace: Unwind Your Mind,Unknown,Pakistan,2021-06-15,2021,TV-G,273 min,Documentaries,38,2021.0,6.0,273
s721,TV Show,Rhyme Time Town,Unknown,Pakistan,2021-06-15,2021,TV-Y,2 Seasons,Kids' TV,91,2021.0,6.0,2
s726,TV Show,Elite Short Stories: Guzmán Caye Rebe,Unknown,Pakistan,2021-06-14,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",55,2021.0,6.0,1
s733,Movie,To All the Boys: Always and Forever - The Afterparty,Unknown,Pakistan,2021-06-12,2021,TV-MA,36 min,Movies,21,2021.0,6.0,36
s739,Movie,Trese After Dark,Unknown,Pakistan,2021-06-11,2021,TV-14,36 min,"Anime Features, Documentaries",84,2021.0,6.0,36
s752,TV Show,Guru Aur Bhole,Unknown,Pakistan,2021-06-08,2018,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",10,2021.0,6.0,2
s843,TV Show,High on the Hog: How African American Cuisine Transformed America,Unknown,Pakistan,2021-05-26,2021,TV-14,1 Season,Docuseries,64,2021.0,5.0,1
s848,TV Show,Mad for Each Other,Unknown,Pakistan,2021-05-24,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",21,2021.0,5.0,1
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,Unknown,Pakistan,2021-05-22,2020,TV-G,61 min,"International Movies, Music & Musicals",45,2021.0,5.0,61
s937,TV Show,Miniforce: Super Dino Power,Unknown,Pakistan,2021-05-01,2020,TV-Y7,1 Season,Kids' TV,75,2021.0,5.0,1
s928,TV Show,Barney and Friends,Unknown,Pakistan,2021-05-01,2010,TV-Y,2 Seasons,Kids' TV,25,2021.0,5.0,2
s958,TV Show,Pet Stars,Unknown,Pakistan,2021-04-30,2021,TV-PG,1 Season,Reality TV,60,2021.0,4.0,1
s964,TV Show,The Unremarkable Juanquini,Unknown,Pakistan,2021-04-30,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",41,2021.0,4.0,2
s966,TV Show,Yasuke,Unknown,Pakistan,2021-04-29,2021,TV-MA,1 Season,"Anime Series, International TV Shows",39,2021.0,4.0,1
s968,TV Show,Headspace Guide to Sleep,Unknown,Pakistan,2021-04-28,2021,TV-G,1 Season,"Docuseries, Science & Nature TV",9,2021.0,4.0,1
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,Not Given,2021-09-06,2021,TV-14,1 Season,"Docuseries, Science & Nature TV",35,2021.0,9.0,1
s104,Movie,Shadow Parties,Yemi Amodu,Not Given,2021-09-06,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers",51,2021.0,9.0,117
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",Not Given,2021-09-03,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",51,2021.0,9.0,1
s116,TV Show,Bright Star,Unknown,Unknown,,2009,PG,119 min,"Dramas, Romantic Movies",38,,,119
s117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",76,2021.0,9.0,114
s118,Movie,Final Account,Luke Holland,United Kingdom,2021-09-02,2021,PG-13,94 min,Documentaries,51,2021.0,9.0,94
s119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",60,2021.0,9.0,106
s120,Movie,Here and There,JP Habac,Philippines,2021-09-02,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies",52,2021.0,9.0,99
