show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s7420,Movie,Masoom,Shekhar Kapur,India,2019-12-31,1983,TV-14,138 min,"Dramas, Independent Movies, International Movies",45,2019.0,12.0,138
s7421,Movie,Master,Ui-seok Jo,South Korea,2018-02-01,2016,NR,143 min,"Action & Adventure, International Movies",74,2018.0,2.0,143
s7422,Movie,Mater,Pablo D'Alo Abba,Argentina,2018-08-01,2017,TV-MA,80 min,"Dramas, Independent Movies, International Movies",8,2018.0,8.0,80
s7423,Movie,Matichya Chuli,"Sudesh Manjrekar, Atul Kale",India,2018-02-15,2006,TV-14,132 min,"Comedies, Dramas, International Movies",49,2018.0,2.0,132
s7424,Movie,Max Rose,Daniel Noah,United States,2017-01-15,2013,TV-14,84 min,"Dramas, Independent Movies",33,2017.0,1.0,84
s7425,Movie,May We Chat,Philip Yung,Hong Kong,2018-08-26,2014,TV-MA,99 min,"Dramas, International Movies",3,2018.0,8.0,99
s7426,Movie,May You Prosper,"Hassan Hegazy, Shady Ali",Egypt,2019-07-20,2017,TV-14,93 min,"Comedies, International Movies, Music & Musicals",50,2019.0,7.0,93
s7427,Movie,Maya Angelou: And Still I Rise,"Bob Hercules, Rita Coburn Whack",United States,2017-05-01,2016,TV-PG,114 min,Documentaries,18,2017.0,5.0,114
s7428,Movie,Maynard,Samuel D. Pollard,United States,2018-09-02,2017,TV-PG,100 min,Documentaries,73,2018.0,9.0,100
s7429,Movie,Maza Pati Karodpati,Sachin,India,2018-01-01,1988,TV-PG,132 min,"Comedies, International Movies, Romantic Movies",19,2018.0,1.0,132
s7430,Movie,Me and the Alien,Jesús Magaña Vázquez,Mexico,2017-02-14,2016,TV-MA,83 min,"Comedies, Dramas, International Movies",62,2017.0,2.0,83
s7431,Movie,Mean Dreams,Nathan Morlando,Canada,2019-07-01,2016,R,105 min,"Dramas, Independent Movies, Thrillers",15,2019.0,7.0,105
s7432,Movie,Mean Streets,Martin Scorsese,United States,2019-07-01,1973,R,112 min,"Classic Movies, Dramas, Independent Movies",59,2019.0,7.0,112
